# Метеостанция Екатеринбург, Россия, WMO_ID=28440, выборка с 11.12.2023 по 11.12.2024, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=28440&lang=ru
#
"Местное время в Екатеринбурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.05.2024 08:00";"0.5";"727.3";"753.1";"-0.6";"92";"Ветер, дующий с севера";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-0.7";"1.0";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"1.0";
"03.05.2024 05:00";"2.6";"727.9";"753.5";"-0.9";"63";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-3.8";"";"";"";"";"";"";
"03.05.2024 02:00";"3.3";"728.8";"754.5";"-0.8";"50";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"10.0";"-6.3";"";"";"";"";"";"";
"02.05.2024 23:00";"4.5";"729.6";"755.1";"0.0";"45";"Ветер, дующий с юго-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.5";"";"";"";"";"";"";
"02.05.2024 20:00";"6.3";"729.6";"754.9";"-0.4";"40";"Ветер, дующий с северо-северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"8.0";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-6.4";"Следы осадков";"12";"";"";"";"";
"02.05.2024 17:00";"7.1";"730.0";"755.3";"0.0";"41";"Ветер, дующий с западо-северо-запада";"2";"";"11";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.4";"";"";"";"";"";"";
"02.05.2024 14:00";"6.9";"730.0";"755.4";"-0.6";"38";"Ветер, дующий с западо-северо-запада";"4";"";"11";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.5";"";"";"";"";"";"";
"02.05.2024 11:00";"7.0";"730.6";"755.9";"-0.3";"36";"Ветер, дующий с западо-северо-запада";"4";"";"11";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-7.3";"";"";"";"";"";"";
"02.05.2024 08:00";"4.4";"730.9";"756.5";"0.1";"55";"Ветер, дующий с западо-северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"3.5";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.0";"Осадков нет";"12";"Поверхность почвы влажная.";"1.0";"";"";
"02.05.2024 05:00";"3.9";"730.8";"756.4";"-0.1";"66";"Ветер, дующий с северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.0";"";"";"";"";"";"";
"02.05.2024 02:00";"5.0";"730.9";"756.4";"0.2";"50";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.7";"";"";"";"";"";"";
"01.05.2024 23:00";"7.1";"730.7";"756.0";"1.3";"38";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.5";"";"";"";"";"";"";
"01.05.2024 20:00";"9.2";"729.4";"754.5";"0.9";"36";"Ветер, дующий с северо-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"10.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.1";"1.0";"12";"";"";"";"";
"01.05.2024 17:00";"10.0";"728.5";"753.5";"0.7";"45";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.6";"";"";"";"";"";"";
"01.05.2024 14:00";"7.1";"727.8";"753.0";"1.0";"71";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"20.0";"2.1";"";"";"";"";"";"";
"01.05.2024 11:00";"5.0";"726.8";"752.2";"-0.1";"87";"Ветер, дующий с востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"3.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"20.0";"3.0";"";"";"";"";"";"";
"01.05.2024 08:00";"4.0";"726.9";"752.4";"-3.3";"92";"Ветер, дующий с востока";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"4.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"2.8";"10.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"6.0";"";"";
"01.05.2024 05:00";"5.0";"730.2";"755.7";"-3.1";"91";"Ветер, дующий с юга";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"3.6";"";"";"";"";"";"";
"01.05.2024 02:00";"6.5";"733.3";"758.8";"-2.5";"74";"Ветер, дующий с запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.1";"";"";"";"";"";"";
"30.04.2024 23:00";"8.7";"735.8";"761.2";"-1.3";"49";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.6";"";"";"";"";"";"";
"30.04.2024 20:00";"11.2";"737.1";"762.3";"-1.6";"36";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"13.9";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-3.4";"Осадков нет";"12";"";"";"";"";
"30.04.2024 17:00";"12.2";"738.7";"763.8";"-1.6";"27";"Ветер, дующий с запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.6";"";"";"";"";"";"";
"30.04.2024 14:00";"11.1";"740.3";"765.7";"-1.6";"24";"Ветер, дующий с запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-8.9";"";"";"";"";"";"";
"30.04.2024 11:00";"8.1";"741.9";"767.5";"-1.0";"34";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.8";"";"";"";"";"";"";
"30.04.2024 08:00";"3.7";"742.9";"768.9";"-0.3";"55";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"-0.4";"";"";"";"";"";"";"10.0";"-4.6";"Осадков нет";"12";"Поверхность почвы влажная.";"-2.0";"";"";
"30.04.2024 05:00";"-0.2";"743.2";"769.6";"0.1";"82";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.0";"";"";"";"";"";"";
"30.04.2024 02:00";"2.8";"743.1";"769.3";"-0.4";"67";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"29.04.2024 23:00";"4.9";"743.5";"769.4";"0.5";"53";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.0";"";"";"";"";"";"";
"29.04.2024 20:00";"7.8";"743.0";"768.7";"0.2";"41";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"9.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-4.9";"Осадков нет";"12";"";"";"";"";
"29.04.2024 17:00";"8.4";"742.8";"768.4";"-0.1";"43";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Высокослоистые просвечивающие.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-3.6";"";"";"";"";"";"";
"29.04.2024 14:00";"7.3";"742.9";"768.7";"0.1";"51";"Ветер, дующий с северо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-2.3";"";"";"";"";"";"";
"29.04.2024 11:00";"4.0";"742.8";"768.8";"0.9";"69";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"3.0";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"-1.2";"";"";"";"";"";"";
"29.04.2024 08:00";"3.7";"741.9";"767.9";"0.8";"75";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"3.3";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"-0.4";"0.7";"12";"Поверхность почвы влажная.";"5.0";"";"";
"29.04.2024 05:00";"4.1";"741.1";"767.1";"1.3";"85";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"1.8";"";"";"";"";"";"";
"29.04.2024 02:00";"6.7";"739.8";"765.4";"1.2";"77";"Ветер, дующий с северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"2.9";"";"";"";"";"";"";
"28.04.2024 23:00";"9.7";"738.6";"763.9";"2.6";"90";"Ветер, дующий с северо-северо-запада";"2";"";"14";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"8.1";"";"";"";"";"";"";
"28.04.2024 20:00";"15.1";"736.0";"760.8";"2.4";"59";"Ветер, дующий с северо-запада";"6";"14";"19";"70 – 80%.";" ";"";"";"";"23.3";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"7.2";"1.0";"12";"";"";"";"";
"28.04.2024 17:00";"20.9";"733.6";"757.7";"1.1";"35";"Ветер, дующий с западо-северо-запада";"8";"15";"19";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.0";"";"";"";"";"";"";
"28.04.2024 14:00";"20.3";"732.5";"756.7";"-1.3";"47";"Ветер, дующий с запада";"7";"12";"17";"70 – 80%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"8.6";"";"";"";"";"";"";
"28.04.2024 11:00";"20.8";"733.8";"757.9";"-1.0";"46";"Ветер, дующий с запада";"6";"12";"12";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.7";"";"";"";"";"";"";
"28.04.2024 08:00";"18.5";"734.8";"759.2";"-1.0";"52";"Ветер, дующий с западо-юго-запада";"5";"";"";"40%.";" ";"";"";"16.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"8.4";"Осадков нет";"12";"Поверхность почвы влажная.";"11.0";"";"";
"28.04.2024 05:00";"17.7";"735.8";"760.3";"-0.8";"53";"Ветер, дующий с западо-юго-запада";"4";"";"11";"60%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.0";"";"";"";"";"";"";
"28.04.2024 02:00";"17.5";"736.6";"761.2";"-1.6";"60";"Ветер, дующий с западо-юго-запада";"4";"";"10";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.5";"";"";"";"";"";"";
"27.04.2024 23:00";"17.8";"738.2";"762.7";"-0.8";"65";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"11.1";"";"";"";"";"";"";
"27.04.2024 20:00";"16.4";"739.0";"763.7";"-1.5";"63";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"17.6";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"9.3";"Следы осадков";"12";"";"";"";"";
"27.04.2024 17:00";"17.5";"740.5";"765.2";"-2.0";"55";"Ветер, дующий с юго-юго-востока";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.2";"";"";"";"";"";"";
"27.04.2024 14:00";"12.8";"742.5";"767.6";"-1.1";"73";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"8.0";"";"";"";"";"";"";
"27.04.2024 11:00";"10.7";"743.6";"769.0";"-0.4";"72";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"5.8";"";"";"";"";"";"";
"27.04.2024 08:00";"8.3";"744.0";"769.6";"-0.4";"76";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"7.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"4.3";"Осадков нет";"12";"Поверхность почвы влажная.";"6.0";"";"";
"27.04.2024 05:00";"7.7";"744.4";"770.2";"-1.0";"76";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"3.6";"";"";"";"";"";"";
"27.04.2024 02:00";"8.3";"745.4";"771.1";"-1.2";"71";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"3.2";"";"";"";"";"";"";
"26.04.2024 23:00";"9.1";"746.6";"772.3";"0.1";"63";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"2.4";"";"";"";"";"";"";
"26.04.2024 20:00";"10.3";"746.5";"772.0";"-0.2";"56";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"11.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"1.8";"Осадков нет";"12";"";"";"";"";
"26.04.2024 17:00";"11.5";"746.7";"772.1";"-0.6";"52";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"2.0";"";"";"";"";"";"";
"26.04.2024 14:00";"8.9";"747.3";"773.0";"-0.3";"64";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"2.4";"";"";"";"";"";"";
"26.04.2024 11:00";"5.4";"747.6";"773.7";"0.0";"74";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"1.1";"";"";"";"";"";"";
"26.04.2024 08:00";"2.6";"747.6";"773.9";"0.7";"91";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"2.4";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"1.2";"Следы осадков";"12";"Поверхность почвы влажная.";"3.0";"";"";
"26.04.2024 05:00";"2.6";"746.9";"773.2";"0.6";"90";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"1.1";"";"";"";"";"";"";
"26.04.2024 02:00";"2.7";"746.3";"772.6";"0.8";"91";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Снег неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.4";"";"";"";"";"";"";
"25.04.2024 23:00";"2.9";"745.5";"771.7";"0.8";"94";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"2.0";"";"";"";"";"";"";
"25.04.2024 20:00";"3.5";"744.7";"770.9";"0.7";"95";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Дождь.";"Морось.";"";"3.9";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"2.7";"0.5";"12";"";"";"";"";
